job_title,skills_languages,skills_frameworks,skills_databases,skills_platforms,wanted_languages,wanted_frameworks,wanted_databases,wanted_platforms,hiring_algorithms,hiring_tech_exp,hiring_communication,hiring_opensource,hiring_education,hiring_execution,problem_solving,building_things,learning_new_tech,invest_time_tools,collaborate_remote,country,years_coding_numeric,job_category
Not specified,Swift,,,iOS,Swift,,,iOS,Important,Important,Important,Somewhat important,Not at all important,Very important,Strongly agree,Strongly agree,Agree,Strongly agree,Unknown,United States,4.5,Not specified
Not specified,JavaScript; Python; Ruby; SQL,.NET Core,MySQL; SQLite,Amazon Web Services (AWS),Java; Python; Ruby; SQL,.NET Core,MySQL; SQLite,Linux Desktop; Raspberry Pi; Amazon Web Services (AWS),Important,Important,Important,Important,Somewhat important,Very important,Unknown,Unknown,Unknown,Unknown,Strongly disagree,United Kingdom,4.5,Not specified
Other,Java; PHP; Python,,MySQL,,C; Python; Rust,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,United Kingdom,20.0,Other
Not specified,Matlab; Python; R; SQL,React,MongoDB; Redis; SQL Server; MySQL; SQLite,Windows Desktop; Linux Desktop; Mac OS; Amazon Web Services (AWS),Matlab; Python; R; SQL,Hadoop; Node.js; React,MongoDB; Redis; SQL Server; MySQL; SQLite,Windows Desktop; Linux Desktop; Mac OS; Amazon Web Services (AWS),Somewhat important,Somewhat important,Very important,Very important,Not very important,Very important,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,United States,9.5,Not specified
Mobile developer; Graphics programming; Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Switzerland,10.5,Desktop Developer
Not specified,JavaScript; PHP; Rust,,MySQL,Linux Desktop; Amazon Web Services (AWS),Clojure; Elixir; Erlang; Haskell; Rust; TypeScript,,,Linux Desktop,Not very important,Not very important,Not very important,Important,Not very important,Not very important,Unknown,Unknown,Unknown,Unknown,Agree,New Zealand,4.5,Not specified
Not specified,Matlab; Python,,SQLite,Windows Desktop,JavaScript; Julia; Matlab; Python; R; SQL,Hadoop; Node.js,MongoDB; SQL Server; PostgreSQL; SQLite,Arduino; Raspberry Pi,Very important,Important,Important,Somewhat important,Somewhat important,Very important,Unknown,Unknown,Unknown,Unknown,Unknown,United States,8.5,Not specified
Web developer,CoffeeScript; Clojure; Elixir; Erlang; Haskell; JavaScript; Python; Ruby,React,Redis; MySQL; PostgreSQL,Amazon Web Services (AWS),Clojure; Elixir; Haskell; Scala,,,,Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Disagree,Poland,7.5,Web Developer
Web developer; Mobile developer,C#; JavaScript,AngularJS; Node.js; .NET Core,SQL Server,Android; Microsoft Azure,F#; Go,Hadoop; React; Spark,Cassandra; Redis,Serverless; Amazon Web Services (AWS); Microsoft Azure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Colombia,7.5,Web Developer
Mobile developer; Desktop applications developer,Objective-C; Swift,,PostgreSQL,iOS; Amazon Web Services (AWS),C#; Java; Objective-C; Swift,.NET Core,,Android; iOS; Windows Phone; Windows Desktop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Disagree,France,8.5,Desktop Developer
Not specified,R; SQL,,SQL Server,,C#; R; SQL,,SQL Server,,Very important,Not very important,Important,Somewhat important,Somewhat important,Very important,Unknown,Unknown,Unknown,Unknown,Strongly agree,United States,11.5,Not specified
